frequency,amplitude,duration,label,class,timestamp
2.4211788867116186,1.3003527262861863,0.2631478177538331,1,Drone,2025-02-10 12:39:01.436770
8.830078459520996,0.8740473775691637,0.5838666568004175,1,Drone,2025-02-09 21:28:01.437785
3.28853216681335,0.6106296024211937,1.2601619032408142,1,Drone,2025-02-14 08:57:01.427675
1.2373027704752682,0.4941257411412706,0.8788630733670376,0,Bird,2025-02-15 08:41:01.425163
9.471510360161181,0.7154509636491239,0.2864405335150917,0,Bird,2025-02-11 06:05:01.434299
8.037217290526794,0.44797731446335737,1.448469710867133,1,Drone,2025-02-14 23:38:01.425163
9.959648037312922,0.9713962669894982,0.8566894781836469,0,Bird,2025-02-08 21:23:01.440808
4.765505800405002,0.9148159757649807,1.4751243400051575,0,Bird,2025-02-12 14:40:01.431298
5.4306903228024215,0.791387051780196,0.9076779944491515,1,Drone,2025-02-11 11:34:01.434299
6.390460866138717,1.3460514633750678,0.6197368385452681,1,Drone,2025-02-10 13:33:01.436770
4.318364537783157,0.17984444683554124,0.9971488526054881,0,Bird,2025-02-13 21:05:01.428291
6.882952336839206,0.3770444332879653,0.7099053418071408,1,Drone,2025-02-15 10:10:01.424166
7.739437032669758,0.15397435116568392,1.4263432005900143,0,Bird,2025-02-14 05:17:01.427675
6.877881889770714,0.03499726884993526,0.7552224552046014,1,Drone,2025-02-14 17:28:01.426667
8.253020522771688,0.8987068295747931,0.7920123850217319,0,Bird,2025-02-10 16:12:01.436770
8.289319782726094,0.5181849423431099,1.7361264198892652,0,Bird,2025-02-12 18:53:01.431298
10.927870878143896,0.10459028764686923,1.8394607059624515,1,Drone,2025-02-09 15:59:01.438804
8.738690413016096,0.09889083998231696,0.6098613277722443,0,Bird,2025-02-09 23:41:01.437785
4.206657168323348,0.23301114258513295,0.9313234651329675,1,Drone,2025-02-11 02:26:01.434299
3.416803804608466,0.9988448271846312,1.2125586559077501,0,Bird,2025-02-13 14:24:01.429299
5.432659244369775,0.47376015373872027,1.5610696003351725,0,Bird,2025-02-15 13:23:01.424166
4.432738761628295,1.0658926198560539,-0.263670981129226,1,Drone,2025-02-14 17:59:01.426667
9.72918866945795,0.7290337428294941,0.16243917901076566,0,Bird,2025-02-15 17:05:01.424166
1.3456078959371012,0.43865868440710365,0.3518884478121078,0,Bird,2025-02-12 01:58:01.432299
1.7515064502880189,0.9937731027679316,1.8516020248956209,0,Bird,2025-02-15 09:47:01.424166
12.84587821412774,0.6252313858644516,1.703881731863585,1,Drone,2025-02-15 14:13:01.424166
5.090237851137271,0.10035754099440164,1.2050167702293633,1,Drone,2025-02-10 22:59:01.434299
8.920819268984582,0.9438238100828079,-0.0982734526353139,1,Drone,2025-02-10 12:36:01.436770
3.493112718933809,0.6167123307671348,1.2294816922017486,0,Bird,2025-02-13 07:14:01.429299
5.813985299343937,0.16378740703087424,-0.03747343716566304,1,Drone,2025-02-09 19:38:01.438804
10.375747316868445,0.8039036681431388,0.26854648309062656,1,Drone,2025-02-10 08:50:01.436770
8.394732079394245,0.6484975975472042,0.7633952627889184,0,Bird,2025-02-14 05:31:01.427675
9.197417982973565,0.07741167422529305,0.8723152305985233,0,Bird,2025-02-10 19:37:01.436150
8.47488841290397,0.6239524428789697,0.6625159373408538,1,Drone,2025-02-15 05:50:01.425163
9.555345693380119,0.9950517532750057,0.44595377317548424,0,Bird,2025-02-09 10:21:01.438804
2.553482016120471,0.4268414093689781,1.8123053835332397,0,Bird,2025-02-08 23:31:01.439808
7.989054990677072,0.44941622536715553,0.7988733499114824,1,Drone,2025-02-14 04:38:01.427675
